"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.772721336E0,-1.266514957E-1,-1.037934516E-2,-2.406480312E0,2.409833153E0
4.792064696E0,-4.597485363E-1,9.790717810E-2,-4.379445553E0,4.404599628E0
4.811609941E0,5.190850794E-2,1.767443679E-2,6.834623218E-1,6.856585332E-1
4.830928845E0,3.544221222E-1,-1.762383804E-2,4.809374332E0,4.822448249E0
4.850246989E0,3.754802942E-1,2.871664939E-3,5.166125774E0,5.179753779E0
4.869590477E0,1.395279318E-1,-1.011797320E-2,2.240820646E0,2.245183197E0
4.888908493E0,-2.719619274E-1,2.765103988E-2,-2.360856533E0,2.376630270E0
4.908226637E0,-6.091883779E-1,9.771394730E-2,-5.593465328E0,5.627389526E0
4.927569997E0,-4.550177157E-1,7.114837319E-2,-4.161198139E0,4.186606402E0
4.946883771E0,2.220518142E-2,3.509644186E-3,7.108443379E-1,7.111997332E-1
4.966201787E0,3.041540682E-1,-1.885713451E-2,4.672849655E0,4.682775800E0
4.985519803E0,3.569278717E-1,1.625722647E-2,5.001989841E0,5.014734707E0
5.004863163E0,1.453858763E-1,1.666615531E-2,2.104238987E0,2.109321343E0
5.024181179E0,-2.731041312E-1,1.299674530E-2,-2.401666880E0,2.417179882E0
5.043495987E0,-6.169097424E-1,5.707744136E-2,-5.388924599E0,5.424421056E0
5.062839219E0,-5.056958199E-1,9.077196568E-2,-3.925877333E0,3.959353564E0
5.082157235E0,-2.822321095E-2,3.395062312E-2,7.573841214E-1,7.586698240E-1
5.101475123E0,2.505733669E-1,-2.202274837E-2,4.538690567E0,4.545655517E0
5.120818483E0,3.459797502E-1,-1.147411950E-2,4.834192276E0,4.846570809E0
5.140137634E0,2.018407583E-1,1.550989691E-2,2.003108978E0,2.013312154E0
5.159455522E0,-2.070791870E-1,3.476902470E-2,-2.377044201E0,2.386300444E0
5.178773538E0,-5.663398504E-1,6.967625767E-2,-5.211298943E0,5.242445257E0
5.198091554E0,-5.118407011E-1,5.016555265E-2,-3.734908104E0,3.770150664E0
5.217434914E0,-5.474834889E-2,1.933998615E-2,7.981977463E-1,8.003068530E-1
5.236752747E0,2.711037695E-1,-9.260535240E-3,4.374704361E0,4.383106348E0
5.256070763E0,3.387849927E-1,-1.163690817E-2,4.643038750E0,4.655396817E0
5.275388779E0,1.613417119E-1,-1.196967531E-2,1.866886258E0,1.873883327E0
5.294706667E0,-2.142269164E-1,3.441024572E-2,-2.308678865E0,2.318852160E0
5.314024683E0,-5.627134442E-1,1.106239632E-1,-5.006661415E0,5.039399032E0
5.333372846E0,-6.119663119E-1,1.130101159E-1,-5.004878044E0,5.043419305E0
5.352690990E0,-5.604044199E-1,8.321737498E-2,-3.552498102E0,3.597390862E0
5.372034478E0,2.513770461E-1,-3.525161371E-2,4.249465942E0,4.257040509E0
5.391352622E0,2.850292921E-1,2.883306704E-2,4.523452282E0,4.532515151E0
5.410670766E0,9.026623517E-2,1.505499240E-2,1.803765059E0,1.806085001E0
5.429988782E0,-2.678731978E-1,2.453132160E-2,-2.292335987E0,2.308064582E0
5.449332270E0,-5.609109402E-1,7.079219818E-2,-4.843280315E0,4.876166202E0
5.468650286E0,-4.067676663E-1,7.264734805E-2,-3.383556366E0,3.408693482E0
5.487993902E0,4.617982777E-4,1.496668439E-2,7.930394411E-1,7.931807928E-1
5.507311918E0,2.429630011E-1,-9.031849913E-3,4.112876892E0,4.120056908E0
5.526792473E0,2.928095460E-1,1.247681561E-3,4.332174301E0,4.342058632E0
5.546108870E0,8.020985872E-2,1.449375134E-2,1.694578528E0,1.696537674E0
5.565427014E0,-2.845544219E-1,3.734807298E-2,-2.224097013E0,2.242537318E0
